StudentID,Student Name,Personal Email,University Email,Student Type,Offer Type,Course Name,Campus,Original COE Start Date,Course Start Date,Course End Date,COE Status,Specialisation,Pathway Indicator,ICT501,ICT502,ICT503,ICT504,ICT601,ICT602,ICT603,ICT604,ICT701,ICT702,ICT703,ICT704,ICT705,ICT706,ICT707,ICT708,ICT709,ICT710,ICT711,ICT712,ICT751,ICT752,ICT801,ICT802,ICT803,No Of specified CTs,No Of Unspecified CTs,No Of Transition CTs,Total No Of CTs,No Of Passed Units,No Of Remaining Units
1,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",TC,,,,,,,,,,,,,,,,
2,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Analytics,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,,,,,
3,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Analytics,,,,,,,"2024,GC,SEM2 ",,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,,,,,
4,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Information Systems,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
6,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Information Systems,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,
7,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Software Engineering,,,,,,,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,"2024,GC,SEM2 ",,,,,,,,
8,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Information Systems,,,,,,,,,,"2024,GC,SEM2 ",,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,
9,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
10,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Not Decided Yet,,"2024,GC,SEM2_SEPT ","2024,GC,SEM2_SEPT ","2024,GC,SEM2_SEPT ","2024,GC,SEM2_SEPT ",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,No-Specialization Path,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
12,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Software Engineering,,,,,,,,,,,,,,"2024,GC,SEM2 ",,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,
13,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Information Systems,,,,,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,
14,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
15,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
16,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
17,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,No-Specialization Path,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
18,C,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Cyber Security,,,,,,,,,,,,,"2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,,,,,
19,A,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Software Engineering,,,,,,,,,,,,,,,,,,,"2024,GC,SEM2 ",,"2024,GC,SEM2 ",,,"2024,GC,SEM2 ",,,,,,,,
20,B,,,CRICOS Onshore Enrolment,,Master of Information Technology and Systems,Geelong,,,,Studying,Software Engineering,,,,,,,,,"2024,GC,SEM2 ",,,,,,,"2024,GC,SEM2 ",,,"2024,GC,SEM2 ","2024,GC,SEM2 ",,,,,,,,,,,,
